Sembol,AlimTarihi,Lot,AlisFiyati,SonFiyat,Anapara,Bakiye,KarZararPct,GunSayisi,ArtanPara,HisseKarPct,PortfoyKarPct
CANTE,2025-08-13 07:45:53.888290,4424,2.26,2.26,9998.24,10000.0,0.0,0,1.7600000000002183,0.0,0.0
GARAN,2025-08-13 07:45:53.888290,67,147.6,147.6,9889.199999999999,10000.0,0.0,0,110.80000000000109,0.0,0.0
PATEK,2025-08-13 07:45:53.888290,388,25.76,25.74,9994.880000000001,9992.239999999998,0.0,0,5.119999999998981,-0.07763975155280715,-0.07760000000002037
KTLEV,2025-08-13 07:45:53.888290,1023,9.77,9.75,9994.71,9979.54,0.0,0,5.290000000000873,-0.20470829068576843,-0.20459999999999123
FENER,2025-08-13 07:45:53.888290,745,13.41,13.42,9990.45,10007.449999999999,0.0,0,9.549999999999272,0.07457121551081122,0.07449999999998909
KOZAA,2025-08-13 07:45:53.888290,138,72.25,72.2,9970.5,9993.1,0.0,0,29.5,-0.06920415224913101,-0.06899999999999637
GESAN,2025-08-13 07:45:53.888290,196,51.0,51.0,9996.0,10000.0,0.0,0,4.0,0.0,0.0
CEMZY,2025-08-13 07:45:53.888290,549,18.19,18.17,9986.310000000001,9989.02,0.0,0,13.68999999999869,-0.1099505222649784,-0.10979999999999564
IPEKE,2025-08-13 07:45:53.888290,193,51.8,51.8,9997.4,10000.0,0.0,0,2.600000000000364,0.0,0.0
MOGAN,2025-08-13 07:45:53.888290,991,10.09,10.08,9999.19,9990.09,0.0,0,0.8099999999994907,-0.09910802775024564,-0.09909999999999854
ARTMS,2025-08-13 07:45:53.888290,283,35.28,35.28,9984.24,10000.0,0.0,0,15.760000000000218,0.0,0.0
KRTEK,2025-08-13 07:45:53.888290,332,30.1,30.1,9993.2,10000.0,0.0,0,6.799999999999272,0.0,0.0
GEDZA,2025-08-13 07:45:53.888290,369,27.06,27.04,9985.14,9992.62,0.0,0,14.860000000000582,-0.0739098300073894,-0.073799999999992
UNLU,2025-08-13 07:45:53.888290,581,17.19,17.19,9987.390000000001,10000.0,0.0,0,12.609999999998763,0.0,0.0
MHRGY,2025-08-13 07:45:53.888290,1636,6.11,6.11,9995.960000000001,10000.0,0.0,0,4.039999999999054,0.0,0.0
SANEL,2025-08-13 07:45:53.888290,336,29.7,29.7,9979.199999999999,10000.0,0.0,0,20.80000000000109,0.0,0.0
